uri	record-title	dates	deathdate	birthdate	first-names	surname	entity type
https://archives.cjh.org/agents/corporate_entities/36537	92nd Street Y (New York, N.Y.) 						Organization
https://archives.cjh.org/agents/corporate_entities/19580	A. Gutmann und Co. (Göppingen) 						Organization
https://archives.cjh.org/agents/corporate_entities/29033	A. Levy Metallgeschäft 						Organization
https://archives.cjh.org/agents/corporate_entities/21130	A. Marum Wwe. GmbH Strumpffabriken (Sobernheim) 						Organization
https://archives.cjh.org/agents/corporate_entities/36533	A. Schickler Lüneburg 						Organization
https://archives.cjh.org/agents/families/13130	Aaron  						family
https://archives.cjh.org/agents/people/16463	Aaron, Henry 				 Henry 	Aaron	person
https://archives.cjh.org/agents/people/38378	Aaron, Saralea Zohar 				 Saralea Zohar 	Aaron	person
https://archives.cjh.org/agents/families/13131	Aarons  						family
https://archives.cjh.org/agents/people/85511	Aaronson, Harris 				 Harris 	Aaronson	person
https://archives.cjh.org/agents/people/123723	Aaronson, M. (Michael), 1879- 	 1879- 		 1879	 M. (Michael)	Aaronson	person
https://archives.cjh.org/agents/people/123704	Abarbanel, Judith 				 Judith 	Abarbanel	person
https://archives.cjh.org/agents/people/116626	Abbott, Lyman, 1835-1922  Dates: Existence: 1835 - 1922	 1835-1922  Dates: Existence: 1835 - 1922	1922	 1835	 Lyman	Abbott	person
https://archives.cjh.org/agents/people/116627	Abderhalden, Emil, 1877-1950 	 1877-1950 	1950	 1877	 Emil	Abderhalden	person
https://archives.cjh.org/agents/people/16901	Abel, Erica 				 Erica 	Abel	person
https://archives.cjh.org/agents/families/11713	Abeles  						family
https://archives.cjh.org/agents/people/120960	Abelieff, Joseph 				 Joseph 	Abelieff	person
https://archives.cjh.org/agents/people/120414	Abelman, Benny, 1866-1929 	 1866-1929 	1929	 1866	 Benny	Abelman	person
https://archives.cjh.org/agents/people/120415	Abelman, Tsipora 				 Tsipora 	Abelman	person
https://archives.cjh.org/agents/people/24097	Abelmann, Arthur 				 Arthur 	Abelmann	person
https://archives.cjh.org/agents/people/116628	Abelmann, Walter H. 				 Walter H. 	Abelmann	person
https://archives.cjh.org/agents/people/17115	Abelson, Abel Eliyahu 				 Abel Eliyahu 	Abelson	person
https://archives.cjh.org/agents/people/116629	Abelson, Paul, 1878-1953  Dates: Existence: 1878 - 1953	 1878-1953  Dates: Existence: 1878 - 1953	1953	 1878	 Paul	Abelson	person
https://archives.cjh.org/agents/families/13133	Abendanone  						family
https://archives.cjh.org/agents/families/13134	Aber  						family
https://archives.cjh.org/agents/people/109423	Aber, Felix, 1895-1964 	 1895-1964 	1964	 1895	 Felix	Aber	person
https://archives.cjh.org/agents/people/123067	Abida, E. 				 E. 	Abida	person
https://archives.cjh.org/agents/people/116630	Abish, Walter 				 Walter 	Abish	person
https://archives.cjh.org/agents/people/116625	Aboab, David 				 David 	Aboab	person
https://archives.cjh.org/agents/people/16980	Abraham, Burl, 1954- 	 1954- 		 1954	 Burl	Abraham	person
https://archives.cjh.org/agents/corporate_entities/39506	Abraham Cohen Benevolent Society 						Organization
https://archives.cjh.org/agents/people/53452	Abraham, Else, 1899-1942 	 1899-1942 	1942	 1899	 Else	Abraham	person
https://archives.cjh.org/agents/families/13491	Abraham  						family
https://archives.cjh.org/agents/corporate_entities/38123	Abraham Geiger Kolleg 						Organization
https://archives.cjh.org/agents/people/53453	Abraham, Ida 				 Ida 	Abraham	person
https://archives.cjh.org/agents/people/18884	Abraham, Jacob, 1723-1800 	 1723-1800 	1800	 1723	 Jacob	Abraham	person
https://archives.cjh.org/agents/people/53454	Abraham, Leo, 1902-1980 	 1902-1980 	1980	 1902	 Leo	Abraham	person
https://archives.cjh.org/agents/people/111939	Abraham Mayer, approximately 1694- 				 approximately 1694- 	Abraham Mayer	person
https://archives.cjh.org/agents/corporate_entities/38470	Abraham Miller Association of Williamsburg 						Organization
https://archives.cjh.org/agents/people/116631	Abraham-Podietz, Eva 				 Eva 	Abraham-Podietz	person
https://archives.cjh.org/agents/corporate_entities/36538	Abraham & Straus 						Organization
https://archives.cjh.org/agents/people/7023	Abrahams, A. 				 A. 	Abrahams	person
https://archives.cjh.org/agents/people/116632	Abrahams, Abraham Isaac, 1720-1796  Dates: Existence: 1720 - 1796	 1720-1796  Dates: Existence: 1720 - 1796	1796	 1720	 Abraham Isaac	Abrahams	person
https://archives.cjh.org/agents/people/16760	Abrahams, Alexander 				 Alexander 	Abrahams	person
https://archives.cjh.org/agents/people/116188	Abrahams, Edward W. 				 Edward W. 	Abrahams	person
https://archives.cjh.org/agents/families/13135	Abrahams  						family
https://archives.cjh.org/agents/people/7449	Abrahams, Isaac 				 Isaac 	Abrahams	person
https://archives.cjh.org/agents/people/16771	Abrahams, Israel 				 Israel 	Abrahams	person
https://archives.cjh.org/agents/people/2951	Abrahams, Jacob 				 Jacob 	Abrahams	person
https://archives.cjh.org/agents/people/16479	Abrahams, Jacob, 1784-1866 	 1784-1866 	1866	 1784	 Jacob	Abrahams	person
