001,008,094,100,110,245,260,264,300,520,545,546,610,650,651,655,SHL,856
"000412756","120501s1948\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 1",,"2\$aJuedisches Elternheim Haifa","00$aHaifa Elternheim Residents Collection of Memoirs$f1948",,,"\\$a1$ffolder :$bhandwritten manuscripts.","\\$aSeven old age home residents hold meetings to talk about their childhood in pre-World War II Germany. Afterwards they wrote down their short memoirs.","\\$aThe authors of the memoirs are Adolf Peritz, Koenigsberg i. Pr.; Rosa David, Breslau; Frau Joseph Bachrack, née Nathan, Berlin; anonymous; Hedwig Wolfenstein (Muehsam); Frau Hirschkowitz, Klausenburg.",,,"\0$aChildren$vBiography.;\0$aJewish children.",,"\7$aArchival materials$2cjh;\7$aManuscripts$2cjh;\7$aAutobiographies$2cjh;\7$aBiographical sources$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269625"
"000412757","120501s1931\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 2","1\$aAsch, Adolph",,"00$a[Adolf Asch; Extracts from his Memoirs].","\\$cAfter 1931.",,"\\$a1$ffolder:$btypescript, 159 leaves.","2\$aIncludes 24 extracts from the memoirs of the lawyer and notary Dr. Adolf Asch. It pertains to the years from 1881-1931 and to places like Posen, Bentschen, Schneidemuehl, Berlin, Ostrowo.","\\$aAsch, Adolf (1881-1972)","\\$aGerman and English",,,"\0$aPosen;\0$aZbąszyń (Poland);\4$aSchneidemuehl;\0$aBerlin (Germany);\0$aOstrów Wielkopolski (Poland)","\7$aArchival materials$2cjh;\7$aAutobiographies$2cjh;\7$aBiographical sources$2cjh;\7$aManuscripts$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6268957"
"000412758","120501i19531957is\\\\\\\\\\\\\\\\\\|||\d","\\$aLBIJER 3","1\$aEllern, Hermann,$d1892-",,"10$aHermann Ellern Collection (Jerusalem).$fundated, 1957",,,"\\$a1$ffolder",,"\\$aHermann Ellern was a German banker, born 1892 in Karlsruhe.",,,"\0$aBankers.;\0$aBanks and banking.",,"\7$aArchival materials$2cjh;\0$aManuscripts","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269716"
"000412759","120501s1923\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 4","1\$aGeissmar, Clara,$d1844-1911.",,"04$aDas Haus Ettlinger im Jahre 1859 :$bSkizze aus den Erinnerungen Fernstehender /$cAuszug aus dem Buche der Clara Geissmar geb. Regensburger.","\\$aBerlin,$cMay 1923.",,"\\$a7$fpages :$bbound typescript.","2\$aExcerpt of Clara Geissmar's larger memoir. Also included is a photocopy of the titlepage of the book 'Minchat Ani"" by Rabbi Joseph Ettlinger and photocopies of genealogical notes titled 'Familien-Buch des Geschlechts Ettlinger in Eppingen'.","\\$aClara Geissmar née Regensburger",,,"\0$aJewish families$zGermany.",,"\0$aArchival materials$2cjh;\7$aGenealogical tables$2cjh;\7$aManuscripts (document genre)$2aat","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269302"
"000412760","120501s1956\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 6","1\$aGoetz, Fritz,$d1876-1957",,"10$aFritz Goetz Collection of Manuscripts.$fundated, 1956",,,"\\$a1$ffolder","2\$aThe collection consists of two different manuscripts, one of which deals with the topic of public opinion in Germany ('Bildung und Beeinflussung der oeffentlichen Meinung im Deutschland der letzten 50 Jahre,' 30 pp.); the other one is a conglomerate of short articles with varying main titles pertaining to his career as editor-in-chief of Ullstein publishers ('Erinnerungen eines Chefredakteurs. 30 Jahre im Weltverlag Ullstein,' or such, 37 pp.). Also included is a letter from Fritz Goetz to Manfred George, 19 April 1956.","\\$aFritz Goetz was born in Breslau in 1876. He was chief editor at the Ullstein publishing house and long-time chairman of the ""Kommunalpolitische Pressekonferenz"" Berlin. After having been inprisoned in the Dachau concentration camp in 1933 he emigrated to Palestine.",,"24$aUllstein, publishers, Berlin.","\0$aJournalists.;\0$aJournalism$zGermany.",,"\7$aArchival materials$2cjh;\7$aManuscripts (document genre)$2aat","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269790"
"000412761","120501i19101937is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 8",,,"10$aDavidsohn Family Papers.$f1910-1937",,,"\\$a1$ffolder:$b120 leaves (including 1 newspaper clipping and 2 drawings), 8 photos, 1 picture postcard.","2\$aThe Davidsohn family papers pertain to Doris Davidsohn, her son Ludwig Davidsohn and her daughter Marie Mayer-Davidsohn. - Doris Davidsohn's material includes 6 manuscripts ""Mein Sohn Ludwig"" (of 1 July 1918, 28 pp., TS); ""Erinnerungen einer deutschen Juedin"" (carbon copy of the reprint of 23 February 1934, with a foreword by Erich Cohn, 12 pp., TS); ""Erinnerungen (Kleine Geschichten)"" (undated, 13 pp., MS, incomplete); ""Von der Reise"" (undated, 3 pp., TS); ""Erinnerungen an Rudolf Virchow"" (undated, 3 pp., TS); ""Aus dem Bilderbuche meines Lebens (Schattenrisse)"" (undated, 38 p., TS) letter to Ludwig, of 25 May 1915, with returned envelope (""auf dem Felde der Ehre gefallen""); letter of the 8th company, of 3 October 1915, concerning Ludwig's death; Gedenkblatt, signed by Kriegsminsiter Wild von Hohenborn, of 15 December 1915, with later notes; postcard of Zentralnachweiseamt für Kriegerverluste und Kriegergräber concerning the burial place of Ludwig Davidsohn, of 30 April 1925. - Ludwig Davidsohn's material includes a picture postcard to his grandmother Helene Kempner, of 3 September 1910; a letter to Meinhold Nussbaum, of 21 February 1914, 4 pp.; a letter to Marina Tolentino, of 3 November 1914, with envelope; Doktorurkunde, University of Heidelberg, of 4 January 1915; obituaries by Meinhold Nussbaum and Berthold Cohn, undated; two drawings, portraying Ludwig Davidsohn (of 1908?); 6 photographs in folder; 2 photographs in folder. - Marie Mayer-Davidsohn's material includes an obituary pertaining to her, of 12 March 1937, by Edith Hirsch.","\\$aLudwig Davidsohn was born 1892 in Berlin, the son of the Berlin physician Hermann Davidsohn and his wife Doris. After acquiring his doctorate in jurisprudence at the university in Heidelberg, Ludwig enlisted in the German Army in WW I and died in battle on May 17, 1915.;\\$aDoris Davidsohn was born 1859. She emigrated to Palestine in 1933 and died on Jan. 2, 1934, a few months after her arrival.",,,"\0$aWomen authors.;\0$aZionism.;\0$aWorld War, 1914-1918.","\0$aPalestine$xEmigration and immigration$y1871-1933.","\7$aArchival materials$2cjh;\7$aManuscripts$2cjh;\7$aPhotographs.;\7$aCorrespondence$2cjh;\7$aAutobiographies$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6270071"
"000412762","120501s1916\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 9","1\$aZivier, E.$q(Ezechiel),$d1868-1925.",,"00$aLederfabrik F. Haase 1766-1916 :$bGedenkschrift zum 150-jaehrigen Bestehen der Lederfabrik F. Haase in Rybnik. /$cVerfasst von Dr. E. Zivier.","\\$aBerlin,$c1916.",,"\\$a32$fpages :$bbound.","2\$aPublication with handwritten notes published on occasion of the 150th anniversary of the leather factory F. Haase in Rybnik, Silesia.",,,"20$aHaase, F., Lederfabrik.","\0$aLeather industry and trade$zGermany.","\0$aRybnik (Województwo Śląskie, Poland)","\7$aPublications$2LBI","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6271090"
"CJH01000000000000000412763","120501p1903\\\\gw\\\\\\\\\\\\\\\\\\ger\\","\\$aLBIJER 10","1\$aHalpern, Georg",,"14$aDie Juedischen Arbeiter in London /$cDismissed.","3\$aStuttgart, Berlin :$bJ.G. Cotta'sche Buchh. Nachf.,$c1903.",,"\\$a73$fpages :$bphotocopied print.","\\$aThe file was dismissed. See the book in the National Library of Israel.",,,,,,"\7$aPublications","\\$aLBI Jerusalem Archives",
"000412764","120501s1935\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 11","1\$aHerrmann, Hugo",,"10$a[Jerusalem im Fruehling 1935] :$bBericht ueber Palaestina.","\\$aJerusalem,$c1935.",,"\\$acirca 270$fpages :$btypescript (carbon copy).","2\$aDescription of Palestine and Palestinian society in 1935.","\\$aThe Zionist author Hugo Herrmann (1887-1940) was born in Moravia and settled in Palestine in 1934.",,"20$aKeren Hayesod.","\0$aJews$zPalestine.;\0$aManners and customs.;\0$aZionism.","\0$aPalestine$xDescription and travel.","\7$aArchival materials$2cjh;\7$aManuscripts$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6268411"
"000412765","120501s1953\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 12","1\$aHirsch, Henriette,$d1884-",,"10$aErinnerungen an meine Jugend :$b""Das Haus in der Gipsstrasse"" /$cvon Henriette Hirsch Ramat Gan.","\\$aRamat Gan,$c[1953].",,"\\$a1$ffolder","\\$aSeveral versions of the same memoir by Henriette Hirsch about her childhood including a chapter on Jewish holidays.","\\$aHenriette Hirsch née Hildesheimer was born in Berlin in 1884 and grew up in a Jewish orthodox home. Her memoirs include a description of the celebration of holidays and Shabbat.",,,"\0$aJewish families.;\0$aOrthodox Judaism$zGermany.;\0$aFasts and feasts$xJudaism.;\0$aChildren$y1871-1918.","\0$aBerlin (Germany)","\7$aManuscripts;\7$aBiographical sources$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6270339"
