name-type	first	Surname	surname,firstname	Column 1
firstname surname	Abraham	Freudental	Freudental, Abraham	Abraham Freudental
firstname surname	Meyer	Freudental	Freudental, Meyer	Meyer Freudental
firstname surname	Rudolf	Loewenstein	Loewenstein, Rudolf	Rudolf Loewenstein
firstname surname	Uri	Nahari	Nahari, Uri	Uri Nahari
firstname surname	Albert	Freudental	Freudental, Albert	Albert Freudental
firstname surname	Anna	Klimowski	Klimowski, Anna	Anna Klimowski
firstname surname	Anni	Lax	Lax, Anni	Anni Lax
firstname surname	Barbara	Gross	Gross, Barbara	Barbara Gross
firstname surname	Enid	Read	Read, Enid	Enid Read
firstname surname	Gertrud	Meyer	Meyer, Gertrud	Gertrud Meyer
firstname secondname surname	Hans Herbert	Hammerstein	Hammerstein, Hans Herbert	Hans Herbert Hammerstein
firstname surname	Hans	Mehlow	Mehlow, Hans	Hans Mehlow
firstname surname	Mirjam	Lavelle	Lavelle, Mirjam	Mirjam Lavelle
firstname surname	Nathan	Stiebel	Stiebel, Nathan	Nathan Stiebel
firstname surname geb. surname	Paula	Bernkopf, Schoss	Bernkopf, Schoss, Paula	Paula Bernkopf geb. Schoss
firstname surname	Ulfilas	Meyer	Meyer, Ulfilas	Ulfilas Meyer
firstname surname	Abraham	Mannes	Mannes, Abraham	Abraham Mannes
firstname surname	Adolf	Gerson	Gerson, Adolf	Adolf Gerson
firstname surname	Adolf	Meyer	Meyer, Adolf	Adolf Meyer
firstname surname	Adolf	Süß	Süß, Adolf	Adolf Süß
firstname surname	Adolpf	Gotthelf	Gotthelf, Adolpf	Adolpf Gotthelf
firstname surname	Alexander	Lax	Lax, Alexander	Alexander Lax
firstname surname	Alice	Charlotte.	Charlotte., Alice	Alice Charlotte.
firstname surname	Alice	Meyer	Meyer, Alice	Alice Meyer
firstname surname	Alice	Salomon	Salomon, Alice	Alice Salomon
firstname surname	Alisa	Douer	Douer, Alisa	Alisa Douer
firstname surname	Aliza	Berney	Berney, Aliza	Aliza Berney
firstname surname	Aliza	Douer	Douer, Aliza	Aliza Douer
Dr	Lion	Ruthenburg	Ruthenburg, Lion	Amtsrichter Dr. Lion Ruthenburg
	Helene	Ruthenburg	Ruthenburg, Helene	Helene Ruthenburg
firstname surname	Anja	Schindler	Schindler, Anja	Anja Schindler
firstname surname	Annalie	Frieda	Frieda, Annalie	Annalie Frieda Hagen
firstname surname	Annette	Beltmann	Beltmann, Annette	Annette Beltmann
firstname surname	Arthur	Rupin	Rupin, Arthur	Arthur Rupin
firstname surname	Arthur	Ruppin	Ruppin, Arthur	Arthur Ruppin
firstname surname	Atta	Troll	Troll, Atta	Atta Troll
firstname surname	August	Bollert	Bollert, August	August Bollert
firstname surname	Barbara	Lulay	Lulay, Barbara	Barbara Lulay
firstname surname	Benjamin	Bendikowsky	Bendikowsky, Benjamin	Benjamin Bendikowsky
firstname surname	Berthold	Feiwel	Feiwel, Berthold	Berthold Feiwel
firstname surname	Betty	Frank	Frank, Betty	Betty Frank
firstname surname	Boris	Schatz	Schatz, Boris	Boris Schatz
firstname surname	Cäcilia	Cohn	Cohn, Cäcilia	Cäcilia Cohn
firstname surname	Calman	Cohn	Cohn, Calman	Calman Cohn
